pseudocode,balavatika_located_yn,special_training,material_training,free_text_books_pr,free_uniform_pr,free_text_books_up,free_uniform_up,acad_inspections,crc_coordinator,block_level_officers,district_officers,smc_exists,smc_smdc_same,smc_smdc_meetings,grants_receipt,grants_expenditure
6144373,2,9,1,1,1,1,1,4,0,3,2,1,9,0,0,0
2456796,2,9,2,2,2,2,2,20,15,5,0,1,9,0,25000,25000
3836111,2,9,1,1,2,2,2,15,12,5,1,1,9,12,36697,36697
2834852,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
5941301,2,9,1,1,2,1,2,98,0,24,8,1,9,10,85000,85000
1508468,2,9,2,1,2,2,2,25,0,25,0,2,9,0,50000,50000
9135083,2,9,1,1,1,2,2,99,0,30,10,1,9,8,50000,50000
8108139,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
9996932,2,9,2,1,2,2,2,0,0,0,0,2,9,0,0,0
7311109,2,9,2,1,2,2,2,0,0,0,0,2,9,0,0,0
4444156,2,9,1,1,1,2,2,19,0,17,0,2,9,0,25000,25000
6851377,2,9,2,1,2,1,2,12,0,4,0,2,9,0,50000,50000
1003518,2,9,1,1,2,2,2,9,0,0,0,1,9,8,75000,75000
1141691,2,9,1,1,1,2,2,22,0,15,7,1,9,0,25000,25000
4235414,2,9,2,2,2,2,2,0,0,0,0,1,9,0,0,0
5024678,2,9,2,1,1,2,2,27,0,21,6,1,9,0,25000,25000
4947754,2,9,2,1,2,2,2,0,0,0,0,2,9,0,25000,25000
2657360,2,9,2,1,1,1,1,0,0,0,0,2,9,0,0,0
9221422,2,9,1,1,1,2,2,0,0,0,0,1,9,0,25000,25000
3217826,2,9,1,1,1,1,1,0,0,0,0,1,9,0,0,0
6914170,2,9,1,1,1,1,1,0,0,14,0,2,9,0,75000,75000
7529106,2,9,2,2,2,2,2,22,0,1,1,1,9,0,0,0
5346595,1,9,2,1,2,1,2,0,0,85,0,1,9,0,85000,85000
8278425,2,9,2,1,1,1,1,99,0,0,6,2,9,0,0,0
8195601,2,9,1,1,1,1,1,82,0,0,4,1,9,12,0,0
6995984,0,9,2,2,2,2,2,0,0,0,0,9,1,0,75000,75000
2605560,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
5777392,2,9,2,1,1,2,2,0,0,12,0,1,9,0,50000,50000
6983601,2,9,2,1,1,1,1,0,0,0,0,1,9,0,0,0
4984809,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6612878,1,9,2,1,2,2,2,0,0,0,0,1,9,0,0,0
2127375,2,9,2,1,2,1,2,0,0,0,0,2,9,0,0,0
9774144,2,9,1,1,1,2,2,12,12,12,1,1,9,0,50000,50000
3315161,2,9,1,1,2,2,2,0,0,0,0,2,9,0,0,0
3118416,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
1907288,2,9,2,1,2,2,2,0,0,0,0,1,9,0,50000,50000
5735334,2,9,2,2,2,2,2,10,10,69,10,1,9,10,0,0
9099570,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
5030663,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
9696138,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
7423532,2,9,1,1,2,1,2,24,0,24,0,1,9,8,75000,75000
2294537,2,9,2,1,2,1,2,15,0,10,5,1,9,0,75000,75000
6427526,2,9,2,1,2,2,2,0,0,0,0,2,9,0,0,0
8076293,2,9,1,1,2,1,2,0,0,0,0,1,9,0,0,0
1760241,2,9,1,1,1,2,2,0,0,54,5,1,9,0,25000,25000
1224190,2,9,1,1,1,1,1,10,0,10,0,2,9,0,75000,75000
9753317,2,9,1,1,1,2,2,0,0,0,0,1,9,0,50000,50000
2764856,2,9,1,1,2,1,2,0,0,0,0,1,9,0,75000,75000
1493900,2,9,2,1,2,2,2,0,0,0,0,1,9,0,50000,50000
8201299,0,9,2,2,2,2,2,0,0,0,0,9,1,0,125000,125000
4337565,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8710286,2,9,1,1,1,2,2,0,0,0,0,1,9,0,0,0
7224375,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
2388043,2,9,2,1,1,2,2,0,0,0,0,1,9,0,0,0
7080143,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
6118079,2,9,2,1,2,1,2,0,0,0,0,1,9,0,0,0
6938339,2,9,2,1,2,2,2,0,0,12,1,1,9,0,50000,50000
7761216,2,9,1,1,2,1,2,10,0,6,4,1,9,11,75000,75000
9685743,2,9,1,1,1,2,2,10,2,10,5,1,9,0,50000,50000
8099969,2,9,2,1,2,2,2,0,0,0,0,2,9,0,0,0
6922021,2,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
2344230,2,9,1,1,1,2,2,0,0,0,0,1,9,0,0,0
2408795,2,9,2,1,2,1,2,0,0,0,0,2,9,0,0,0
1892886,2,9,2,1,1,2,2,5,10,5,1,1,9,1,55000,55000
6812707,2,9,2,1,1,1,1,0,0,0,0,2,9,0,0,0
4382884,2,9,2,1,1,2,2,45,0,30,15,1,9,10,50000,50000
8142787,2,9,2,1,1,2,2,60,0,45,15,2,9,0,25000,25000
5196963,1,9,1,1,1,1,1,3,0,2,1,1,9,8,0,0
6344891,2,9,1,1,2,2,2,23,0,12,2,2,9,0,25000,25000
3286337,2,9,2,1,2,1,2,10,0,4,5,2,9,0,75000,75000
4665059,2,9,1,1,1,2,2,99,0,25,10,1,9,0,0,0
5948208,2,9,1,1,1,1,1,8,0,2,1,1,9,10,50000,50000
7677515,2,9,1,1,1,1,1,30,0,28,0,1,9,0,0,0
3889341,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
7907208,0,9,2,2,2,2,2,0,0,0,0,9,1,0,0,0
7603719,0,9,1,2,2,1,2,0,0,0,0,1,9,0,50000,50000
8943764,1,9,1,2,2,2,2,0,0,0,0,2,9,0,0,0
9454487,1,9,2,1,2,1,2,0,0,0,0,1,9,0,0,0
7706582,1,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
2406035,0,9,1,2,2,1,1,5,2,6,1,2,1,12,100000,100000
8130823,2,9,2,1,1,2,2,0,0,0,0,1,9,0,25000,25000
9040256,2,9,2,1,1,2,2,12,0,10,2,1,9,0,0,0
7695887,1,9,1,1,1,1,1,0,0,0,0,1,9,0,50000,50000
9452070,2,9,1,1,1,1,1,0,0,21,0,2,9,0,75000,0
8199826,2,9,2,1,1,2,2,19,0,17,2,2,9,0,50000,50000
4795133,0,9,1,2,2,2,2,0,0,0,0,9,1,0,0,0
9039462,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
3089203,2,9,2,2,2,2,2,0,0,0,0,1,9,0,0,0
4883169,2,9,1,1,2,2,2,5,0,85,0,1,9,0,55000,55000
3869616,2,9,1,1,1,1,1,2,0,2,1,1,9,0,50000,50000
1518953,2,9,1,1,1,2,2,60,0,12,2,1,9,12,50000,50000
6813749,2,9,1,1,2,1,2,0,0,0,0,2,9,0,0,0
8226701,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
1549867,2,9,2,1,1,1,1,5,0,3,2,2,9,0,85000,85000
7179769,2,9,2,2,2,1,2,10,0,10,0,2,9,0,102500,102500
6109006,1,9,2,2,2,2,2,0,0,0,0,2,9,0,0,0
5402577,2,9,1,1,2,2,2,0,0,0,0,2,9,0,50000,50000
7911729,2,9,1,1,2,2,2,0,0,0,0,2,9,0,0,0
8385366,1,9,2,1,2,1,2,0,0,0,0,2,9,0,0,0
9668211,2,9,1,1,1,2,2,0,0,0,0,2,9,0,25000,25000
4072240,2,9,2,1,2,2,2,0,0,0,0,2,9,0,0,0
1400390,2,9,2,2,2,2,2,0,0,0,0,1,9,0,0,0
6583211,2,9,2,1,2,1,2,0,0,0,0,2,9,0,0,0
8889980,2,9,2,2,2,2,2,0,0,0,0,1,2,0,0,0
2007676,2,9,1,1,2,1,2,2,0,2,0,1,9,1,1300000,1300000
1497427,2,9,2,1,1,1,1,0,10,96,0,1,9,12,75000,75000
5877033,1,9,1,1,1,2,2,51,38,8,5,1,9,12,155000,155000
4578554,2,9,2,1,2,2,2,0,0,0,0,2,9,0,0,0
5208778,2,9,1,1,2,2,2,55,0,55,0,1,9,11,50000,50000
2228862,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
4835625,2,9,1,1,2,2,2,0,0,0,0,1,9,0,0,0
4484854,2,9,1,1,2,1,2,0,0,0,0,2,9,0,0,0
3992530,9,9,2,2,2,2,2,0,0,0,0,9,9,0,0,0
8811642,2,9,1,1,1,2,2,22,5,15,2,1,9,0,50000,50000
7205755,2,9,1,1,2,2,2,0,0,0,0,1,9,0,50000,50000
1349628,2,9,1,1,2,2,2,0,0,0,0,1,9,0,0,0
